datetime,id,name,geoid,geoname,value
12-03-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,41.38416667
13-03-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,41.17208333
14-03-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,29.60458333
15-03-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,16.46875
16-03-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,45.61416667
17-03-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,38.90375
18-03-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,34.03208333
19-03-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,41.25958333
20-03-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,35.04708333
21-03-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,18.09833333
22-03-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,17.535
23-03-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,29.2
24-03-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,9.64875
25-03-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,16.48958333
26-03-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,51.54125
27-03-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,37.0375
28-03-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,27.63375
29-03-2014 23:00,600,Precio mercado SPOT Diario ESP,3,España,25.6773913
30-03-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,34.8025
31-03-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,21.25166667
01-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,33.83833333
02-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,30.62166667
03-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,10.11875
04-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,19.87333333
05-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,23.14958333
06-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,33.95083333
07-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,35.65541667
08-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,32.57416667
09-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,33.68916667
10-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,28.74
11-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,12.905
12-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,12.37875
13-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,26.10833333
14-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,37.20041667
15-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,37.29625
16-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,25.17541667
17-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,24.14291667
18-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,23.43291667
19-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,16.35
20-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,31.0375
21-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,28.63583333
22-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,37.18708333
23-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,32.27208333
24-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,11.87333333
25-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,9.953333333
26-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,15.17291667
27-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,35.26541667
28-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,35.80583333
29-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,37.63333333
30-04-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,28.87708333
01-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,22.85458333
02-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,27.86916667
03-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,38.99541667
04-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,45.05458333
05-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,46.71958333
06-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,49.775
07-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,48.2375
08-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,51.12041667
09-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,47.38916667
10-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,41.2425
11-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,46.72041667
12-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,38.75708333
13-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,41.08875
14-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,42.23
15-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,37.83125
16-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,32.54875
17-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,45.02416667
18-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,43.83583333
19-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,45.1225
20-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,37.49041667
21-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,36.34875
22-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,41.85416667
23-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,46.95166667
24-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,43.61666667
25-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,46.08958333
26-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,48.95583333
27-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,49.07375
28-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,48.51166667
29-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,50.1875
30-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,44.255
31-05-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,38.5325
01-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,49.47666667
02-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,51.21083333
03-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,50.25041667
04-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,52.4775
05-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,44.15166667
06-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,41.12083333
07-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,45.09916667
08-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,48.94708333
09-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,53.18541667
10-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,55.24
11-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,58.37458333
12-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,56.90291667
13-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,41.34
14-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,19.71291667
15-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,41.17666667
16-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,51.07625
17-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,60.43
18-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,59.51875
19-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,62.50333333
20-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,55.25416667
21-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,51.15958333
22-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,63.3725
23-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,64.63208333
24-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,56.32291667
25-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,60.37833333
26-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,62.9
27-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,44.27
28-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,36.05583333
29-06-2014 22:00,600,Precio mercado SPOT Diario ESP,3,España,53.44875
